name,sex,age,height,weight,team,year,season,sport,event,medal,country
Meghan Christina Agosta (-Marciano),F,26.0,168.0,67.0,Canada,2014.0,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold,Canada
"Benjamin Alexandro ""Ben"" Agosto",M,24.0,178.0,75.0,United States-1,2006.0,Winter,Figure Skating,Figure Skating Mixed Ice Dancing,Silver,United States
Sergio Leonel Agero del Castillo,M,20.0,172.0,74.0,Argentina,2008.0,Summer,Football,Football Men's Football,Gold,Argentina
Macarena Aguilar Daz,F,27.0,170.0,67.0,Spain,2012.0,Summer,Handball,Handball Women's Handball,Bronze,Spain
Sandra Aguilar Navarro,F,23.0,167.0,50.0,Spain,2016.0,Summer,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver,Spain
Sri Wahyuni Agustiani,F,21.0,147.0,47.0,Indonesia,2016.0,Summer,Weightlifting,Weightlifting Women's Flyweight,Silver,Indonesia
Robyn Mokihana Ah Mow-Santos,F,32.0,172.0,67.0,United States,2008.0,Summer,Volleyball,Volleyball Women's Volleyball,Silver,United States
Annica Gunilla hln,F,27.0,177.0,75.0,Sweden,2002.0,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze,Sweden
Christian Ahlmann,M,29.0,189.0,80.0,Germany,2004.0,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze,Germany
Christian Ahlmann,M,41.0,189.0,80.0,Germany,2016.0,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze,Germany
Tontowi Ahmad,M,29.0,179.0,72.0,Indonesia-1,2016.0,Summer,Badminton,Badminton Mixed Doubles,Gold,Indonesia
Janne Petteri Ahonen,M,24.0,184.0,66.0,Finland,2002.0,Winter,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Silver,Finland
Janne Petteri Ahonen,M,28.0,184.0,66.0,Finland,2006.0,Winter,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Silver,Finland
"Christian ""Chris"" Ahrens",M,28.0,195.0,97.0,United States,2004.0,Summer,Rowing,Rowing Men's Coxed Eights,Gold,United States
Matteo Aicardi,M,26.0,192.0,102.0,Italy,2012.0,Summer,Water Polo,Water Polo Men's Water Polo,Silver,Italy
Matteo Aicardi,M,30.0,192.0,102.0,Italy,2016.0,Summer,Water Polo,Water Polo Men's Water Polo,Bronze,Italy
Mara Magdalena Aicega Amicarelli,F,30.0,165.0,60.0,Argentina,2004.0,Summer,Hockey,Hockey Women's Hockey,Bronze,Argentina
Mara Magdalena Aicega Amicarelli,F,34.0,165.0,60.0,Argentina,2008.0,Summer,Hockey,Hockey Women's Hockey,Bronze,Argentina
Rosaria Aiello,F,27.0,172.0,74.0,Italy,2016.0,Summer,Water Polo,Water Polo Women's Water Polo,Silver,Italy
Hannes Aigner,M,23.0,183.0,75.0,Germany,2012.0,Summer,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Bronze,Germany
Ryoji Aikawa,M,28.0,183.0,85.0,Japan,2004.0,Summer,Baseball,Baseball Men's Baseball,Bronze,Japan
"Charles Benedict ""Ben"" Ainslie",M,27.0,183.0,90.0,Great Britain,2004.0,Summer,Sailing,Sailing Men's One Person Dinghy,Gold,Great Britain
"Charles Benedict ""Ben"" Ainslie",M,31.0,183.0,90.0,Great Britain,2008.0,Summer,Sailing,Sailing Mixed One Person Dinghy,Gold,Great Britain
"Charles Benedict ""Ben"" Ainslie",M,35.0,183.0,90.0,Great Britain,2012.0,Summer,Sailing,Sailing Men's One Person Heavyweight Dinghy,Gold,Great Britain
Artur Surenovych Aivazian,M,35.0,177.0,88.0,Ukraine,2008.0,Summer,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold,Ukraine
"Oluwafemi ""Junior"" Ajayi",M,20.0,172.0,79.0,Nigeria,2016.0,Summer,Football,Football Men's Football,Bronze,Nigeria
"Ebenezer Oluwafemi ""Femi"" Ajilore",M,23.0,185.0,75.0,Nigeria,2008.0,Summer,Football,Football Men's Football,Silver,Nigeria
Mobolade Abimbola Ajomale,M,20.0,180.0,62.0,Canada,2016.0,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze,Canada
Taha Akgl,M,25.0,192.0,125.0,Turkey,2016.0,Summer,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold,Turkey
Albina Khamitovna Akhatova,F,25.0,160.0,55.0,Russia,2002.0,Winter,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Bronze,Russia
Albina Khamitovna Akhatova,F,29.0,160.0,55.0,Russia,2006.0,Winter,Biathlon,Biathlon Women's 10 kilometres Pursuit,Bronze,Russia
Albina Khamitovna Akhatova,F,29.0,160.0,55.0,Russia,2006.0,Winter,Biathlon,Biathlon Women's 15 kilometres,Bronze,Russia
Albina Khamitovna Akhatova,F,29.0,160.0,55.0,Russia,2006.0,Winter,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Gold,Russia
Murodzhon Kakharovich Akhmadaliyev,M,21.0,165.0,56.0,Uzbekistan,2016.0,Summer,Boxing,Boxing Men's Bantamweight,Bronze,Uzbekistan
Artur Kamilevich Akhmatkhuzin,M,28.0,187.0,79.0,Russia,2016.0,Summer,Fencing,"Fencing Men's Foil, Team",Gold,Russia
Bakhtiyar Shakhabutdinovich Akhmedov,M,21.0,190.0,120.0,Russia,2008.0,Summer,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Silver,Russia
Morolake Akinosun,F,22.0,163.0,61.0,United States,2016.0,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,United States
Foluke Antinuke Akinradewo,F,24.0,191.0,79.0,United States,2012.0,Summer,Volleyball,Volleyball Women's Volleyball,Silver,United States
Foluke Antinuke Akinradewo,F,28.0,191.0,79.0,United States,2016.0,Summer,Volleyball,Volleyball Women's Volleyball,Bronze,United States
Khadzhimurat Magomedovich Akkayev,M,19.0,178.0,105.0,Russia,2004.0,Summer,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver,Russia
Khadzhimurat Magomedovich Akkayev,M,23.0,178.0,105.0,Russia,2008.0,Summer,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze,Russia
Daniel Akpeyi,M,30.0,187.0,80.0,Nigeria,2016.0,Summer,Football,Football Men's Football,Bronze,Nigeria
Monica Aksamit,F,26.0,183.0,74.0,United States,2016.0,Summer,Fencing,"Fencing Women's Sabre, Team",Bronze,United States
Naser Al Shami,M,22.0,187.0,81.0,Syria,2004.0,Summer,Boxing,Boxing Men's Heavyweight,Bronze,Syria
Nasser Salih Nasser Abdullah Al-Attiya,M,41.0,178.0,82.0,Qatar,2012.0,Summer,Shooting,Shooting Men's Skeet,Bronze,Qatar
Fehaid Al-Deehani,M,45.0,178.0,95.0,Kuwait,2012.0,Summer,Shooting,Shooting Men's Trap,Bronze,Kuwait
Fehaid Al-Deehani,M,49.0,178.0,95.0,Individual Olympic Athletes,2016.0,Summer,Shooting,Shooting Men's Double Trap,Gold,Independent Olympic Athletes
Ramzy Al-Duhami,M,40.0,162.0,70.0,Saudi Arabia,2012.0,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze,Saudi Arabia
Ahmed bin Hasher Al-Maktoum,M,40.0,175.0,67.0,United Arab Emirates,2004.0,Summer,Shooting,Shooting Men's Double Trap,Gold,United Arab Emirates
Abdullah Al-Rashidi,M,52.0,183.0,83.0,Individual Olympic Athletes,2016.0,Summer,Shooting,Shooting Men's Skeet,Bronze,Independent Olympic Athletes
