name,sex,age,height,weight,team,year,season,sport,event,medal,country
Sara Kolak,F,21.0,170.0,74.0,Croatia,2016.0,Summer,Athletics,Athletics Women's Javelin Throw,Gold,Croatia
Cheslin Kolbe,M,22.0,179.0,89.0,South Africa,2016.0,Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze,South Africa
Marek Antoni Kolbowicz,M,37.0,185.0,91.0,Poland,2008.0,Summer,Rowing,Rowing Men's Quadruple Sculls,Gold,Poland
Svetlana Konstantinovna Kolesnichenko,F,22.0,171.0,53.0,Russia,2016.0,Summer,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,Russia
Osea Kolinisau,M,30.0,174.0,90.0,Fiji,2016.0,Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold,Fiji
Pavel Anatolyevich Kolobkov,M,34.0,182.0,75.0,Russia,2004.0,Summer,Fencing,"Fencing Men's epee, Individual",Bronze,Russia
Aleksandr Viktorovich Kolobnev,M,27.0,174.0,64.0,Russia,2008.0,Summer,Cycling,"Cycling Men's Road Race, Individual",Bronze,Russia
Violetta Vitalyevna Kolobova,F,25.0,176.0,64.0,Russia,2016.0,Summer,Fencing,"Fencing Women's epee, Team",Bronze,Russia
Yevgeniya Nikolayevna Kolodko,F,22.0,182.0,92.0,Russia,2012.0,Summer,Athletics,Athletics Women's Shot Put,Silver,Russia
Gyrgy Kolonics,M,32.0,180.0,80.0,Hungary,2004.0,Summer,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze,Hungary
Yuliya Nikolayevna Koltunova,F,15.0,156.0,43.0,Russia,2004.0,Summer,Diving,Diving Women's Synchronized Platform,Silver,Russia
Mangte Chungneijang Mary Kom,F,29.0,158.0,51.0,India,2012.0,Summer,Boxing,Boxing Women's Flyweight,Bronze,India
"Leonid ""Leo"" Komarov",M,27.0,180.0,90.0,Finland,2014.0,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,Finland
Stanislava Stanislavovna Komarova,F,18.0,182.0,59.0,Russia,2004.0,Summer,Swimming,Swimming Women's 200 metres Backstroke,Silver,Russia
Alina Ivanivna Komashchuk,F,23.0,169.0,75.0,Ukraine,2016.0,Summer,Fencing,"Fencing Women's Sabre, Team",Silver,Ukraine
Rachel Komisarz,F,27.0,172.0,65.0,United States,2004.0,Summer,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold,United States
Rachel Komisarz,F,27.0,172.0,65.0,United States,2004.0,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,United States
Viktoriya Aleksandrovna Komova,F,17.0,150.0,48.0,Russia,2012.0,Summer,Gymnastics,Gymnastics Women's Individual All-Around,Silver,Russia
Viktoriya Aleksandrovna Komova,F,17.0,150.0,48.0,Russia,2012.0,Summer,Gymnastics,Gymnastics Women's Team All-Around,Silver,Russia
Ami Kondo,F,21.0,156.0,48.0,Japan,2016.0,Summer,Judo,Judo Women's Extra-Lightweight,Bronze,Japan
Pavlos Kontides,M,22.0,183.0,82.0,Cyprus,2012.0,Summer,Sailing,Sailing Men's One Person Dinghy,Silver,Cyprus
Petri Kontiola,M,29.0,182.0,92.0,Finland,2014.0,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,Finland
Simone Margareta Koot,F,27.0,173.0,65.0,Netherlands,2008.0,Summer,Water Polo,Water Polo Women's Water Polo,Gold,Netherlands
Marko Kopljar,M,26.0,210.0,112.0,Croatia,2012.0,Summer,Handball,Handball Men's Handball,Bronze,Croatia
"Michael Paul ""Mike"" Koplove",M,31.0,178.0,77.0,United States,2008.0,Summer,Baseball,Baseball Men's Baseball,Bronze,United States
David Kopiva,M,24.0,192.0,89.0,Czech Republic,2004.0,Summer,Rowing,Rowing Men's Quadruple Sculls,Silver,Czechia
Jamie A. Korab,M,26.0,182.0,95.0,Canada,2006.0,Winter,Curling,Curling Men's Curling,Gold,Canada
Anna Korakaki,F,20.0,175.0,65.0,Greece,2016.0,Summer,Shooting,"Shooting Women's Air Pistol, 10 metres",Bronze,Greece
Anna Korakaki,F,20.0,175.0,65.0,Greece,2016.0,Summer,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Gold,Greece
Laurel V. Korholz,F,34.0,187.0,77.0,United States,2004.0,Summer,Rowing,Rowing Women's Coxed Eights,Silver,United States
Oliver Korn,M,24.0,181.0,76.0,Germany,2008.0,Summer,Hockey,Hockey Men's Hockey,Gold,Germany
Oliver Korn,M,28.0,181.0,76.0,Germany,2012.0,Summer,Hockey,Hockey Men's Hockey,Gold,Germany
Aleksandr Vladimirovich Korneyev,M,27.0,200.0,96.0,Russia,2008.0,Summer,Volleyball,Volleyball Men's Volleyball,Bronze,Russia
Larisa Viktorovna Korobeynikova,F,25.0,182.0,76.0,Russia,2012.0,Summer,Fencing,"Fencing Women's Foil, Team",Silver,Russia
Olha Vasylivna Korobka,F,22.0,181.0,167.0,Ukraine,2008.0,Summer,Weightlifting,Weightlifting Women's Super-Heavyweight,Silver,Ukraine
Darya Sergeyevna Korobova,F,23.0,177.0,58.0,Russia,2012.0,Summer,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,Russia
Adam Marek Korol,M,33.0,193.0,92.0,Poland,2008.0,Summer,Rowing,Rowing Men's Quadruple Sculls,Gold,Poland
Nataliya Sergeyevna Korostelyova (Morilova-),F,28.0,162.0,55.0,Russia,2010.0,Winter,Cross Country Skiing,Cross Country Skiing Women's Team Sprint,Bronze,Russia
Yevgeny Yevgenyevich Korotyshkin,M,29.0,186.0,79.0,Russia,2012.0,Summer,Swimming,Swimming Men's 100 metres Butterfly,Silver,Russia
Aleksey Igorevich Korovashkov,M,20.0,181.0,82.0,Russia,2012.0,Summer,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze,Russia
Lauri Korpikoski,M,27.0,185.0,88.0,Finland,2014.0,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,Finland
Ilona Kalyuvna Korstin,F,24.0,183.0,67.0,Russia,2004.0,Summer,Basketball,Basketball Women's Basketball,Bronze,Russia
Ilona Kalyuvna Korstin,F,28.0,183.0,67.0,Russia,2008.0,Summer,Basketball,Basketball Women's Basketball,Bronze,Russia
Robert Marek Korzeniowski,M,36.0,168.0,60.0,Poland,2004.0,Summer,Athletics,Athletics Men's 50 kilometres Walk,Gold,Poland
Aleksandr Borisovich Kosaryev,M,26.0,203.0,95.0,Russia,2004.0,Summer,Volleyball,Volleyball Men's Volleyball,Bronze,Russia
Aleksandr Borisovich Kosaryev,M,30.0,203.0,95.0,Russia,2008.0,Summer,Volleyball,Volleyball Men's Volleyball,Bronze,Russia
an Koir,M,29.0,184.0,77.0,Slovenia,2014.0,Winter,Snowboarding,Snowboarding Men's Parallel Giant Slalom,Bronze,Slovenia
an Koir,M,29.0,184.0,77.0,Slovenia,2014.0,Winter,Snowboarding,Snowboarding Men's Parallel Slalom,Silver,Slovenia
Markku Olavi Koski,M,24.0,181.0,73.0,Finland,2006.0,Winter,Snowboarding,Snowboarding Men's Halfpipe,Bronze,Finland
David Kosteleck,M,33.0,190.0,93.0,Czech Republic,2008.0,Summer,Shooting,Shooting Men's Trap,Gold,Czechia
Ivica Kosteli,M,26.0,182.0,88.0,Croatia,2006.0,Winter,Alpine Skiing,Alpine Skiing Men's Combined,Silver,Croatia
Ivica Kosteli,M,30.0,182.0,88.0,Croatia,2010.0,Winter,Alpine Skiing,Alpine Skiing Men's Slalom,Silver,Croatia
Ivica Kosteli,M,30.0,182.0,88.0,Croatia,2010.0,Winter,Alpine Skiing,Alpine Skiing Men's Combined,Silver,Croatia
Ivica Kosteli,M,34.0,182.0,88.0,Croatia,2014.0,Winter,Alpine Skiing,Alpine Skiing Men's Combined,Silver,Croatia
Janica Kosteli,F,20.0,175.0,76.0,Croatia,2002.0,Winter,Alpine Skiing,Alpine Skiing Women's Super G,Silver,Croatia
Janica Kosteli,F,20.0,175.0,76.0,Croatia,2002.0,Winter,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Gold,Croatia
Janica Kosteli,F,20.0,175.0,76.0,Croatia,2002.0,Winter,Alpine Skiing,Alpine Skiing Women's Slalom,Gold,Croatia
Janica Kosteli,F,20.0,175.0,76.0,Croatia,2002.0,Winter,Alpine Skiing,Alpine Skiing Women's Combined,Gold,Croatia
Janica Kosteli,F,24.0,175.0,76.0,Croatia,2006.0,Winter,Alpine Skiing,Alpine Skiing Women's Super G,Silver,Croatia
Janica Kosteli,F,24.0,175.0,76.0,Croatia,2006.0,Winter,Alpine Skiing,Alpine Skiing Women's Combined,Gold,Croatia
Annabel Kosten,F,27.0,180.0,70.0,Netherlands,2004.0,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,Netherlands
Olena Dmytrivna Kostevych,F,19.0,160.0,52.0,Ukraine,2004.0,Summer,Shooting,"Shooting Women's Air Pistol, 10 metres",Gold,Ukraine
Olena Dmytrivna Kostevych,F,27.0,160.0,52.0,Ukraine,2012.0,Summer,Shooting,"Shooting Women's Air Pistol, 10 metres",Bronze,Ukraine
Olena Dmytrivna Kostevych,F,27.0,160.0,52.0,Ukraine,2012.0,Summer,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Bronze,Ukraine
Carolina Kostner,F,26.0,169.0,60.0,Italy,2014.0,Winter,Figure Skating,Figure Skating Women's Singles,Bronze,Italy
Isolde Kostner (-Perathoner),F,26.0,171.0,66.0,Italy,2002.0,Winter,Alpine Skiing,Alpine Skiing Women's Downhill,Silver,Italy
Aleksandr Viktorovich Kostoglod,M,30.0,185.0,90.0,Russia,2004.0,Summer,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Bronze,Russia
Aleksandr Viktorovich Kostoglod,M,30.0,185.0,90.0,Russia,2004.0,Summer,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver,Russia
Aleksandr Viktorovich Kostoglod,M,34.0,185.0,90.0,Russia,2008.0,Summer,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver,Russia
Roman Sergeyevich Kostomarov,M,29.0,183.0,79.0,Russia-1,2006.0,Winter,Figure Skating,Figure Skating Mixed Ice Dancing,Gold,Russia
Aleksey Veniaminovich Kostygov,M,31.0,190.0,100.0,Russia,2004.0,Summer,Handball,Handball Men's Handball,Bronze,Russia
Ale Kotalk,M,27.0,185.0,103.0,Czech Republic,2006.0,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,Czechia
Tatyana Vladimirovna Kotova,F,27.0,182.0,59.0,Russia,2004.0,Summer,Athletics,Athletics Women's Long Jump,Bronze,Russia
Sage Kotsenburg,M,20.0,178.0,75.0,United States,2014.0,Winter,Snowboarding,Snowboarding Men's Slopestyle,Gold,United States
Ditte Kotzian,F,29.0,178.0,62.0,Germany,2008.0,Summer,Diving,Diving Women's Synchronized Springboard,Bronze,Germany
Martin Koukal,M,31.0,176.0,68.0,Czech Republic,2010.0,Winter,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze,Czechia
Ivn Kovcs,M,34.0,184.0,85.0,Hungary,2004.0,Summer,Fencing,"Fencing Men's epee, Team",Silver,Hungary
"Joseph Mathias ""Joe"" Kovacs",M,27.0,183.0,134.0,United States,2016.0,Summer,Athletics,Athletics Men's Shot Put,Silver,United States
Katalin Kovcs,F,28.0,173.0,64.0,Hungary,2004.0,Summer,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold,Hungary
Katalin Kovcs,F,28.0,173.0,64.0,Hungary,2004.0,Summer,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver,Hungary
Katalin Kovcs,F,32.0,173.0,64.0,Hungary,2008.0,Summer,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold,Hungary
Katalin Kovcs,F,32.0,173.0,64.0,Hungary,2008.0,Summer,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver,Hungary
Katalin Kovcs,F,36.0,173.0,64.0,Hungary,2012.0,Summer,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver,Hungary
Katalin Kovcs,F,36.0,173.0,64.0,Hungary,2012.0,Summer,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold,Hungary
Zoltn Kvg,M,25.0,204.0,132.0,Hungary,2004.0,Summer,Athletics,Athletics Men's Discus Throw,Silver,Hungary
Ilya Valeryevich Kovalchuk,M,18.0,188.0,104.0,Russia,2002.0,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,Russia
Ainrs Kovals,M,26.0,192.0,110.0,Latvia,2008.0,Summer,Athletics,Athletics Men's Javelin Throw,Silver,Latvia
Aleksandr Vladimirovich Kovalyov,M,29.0,170.0,70.0,Russia,2004.0,Summer,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Bronze,Russia
Aleksandr Vladimirovich Kovalyov,M,29.0,170.0,70.0,Russia,2004.0,Summer,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver,Russia
Aleksey Vyacheslavovich Kovalyov,M,28.0,177.0,105.0,Russia,2002.0,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,Russia
Nikolay Anatolyevich Kovalyov,M,25.0,177.0,74.0,Russia,2012.0,Summer,Fencing,"Fencing Men's Sabre, Individual",Bronze,Russia
Justyna Kowalczyk,F,23.0,173.0,59.0,Poland,2006.0,Winter,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,Bronze,Poland
Justyna Kowalczyk,F,27.0,173.0,59.0,Poland,2010.0,Winter,Cross Country Skiing,Cross Country Skiing Women's Sprint,Silver,Poland
Justyna Kowalczyk,F,27.0,173.0,59.0,Poland,2010.0,Winter,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,Gold,Poland
Justyna Kowalczyk,F,27.0,173.0,59.0,Poland,2010.0,Winter,Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,Bronze,Poland
Justyna Kowalczyk,F,31.0,173.0,59.0,Poland,2014.0,Winter,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,Gold,Poland
Kerstin Kowalski-El-Qalqili,F,28.0,176.0,65.0,Germany,2004.0,Summer,Rowing,Rowing Women's Quadruple Sculls,Gold,Germany
Danuta Kozk,F,21.0,168.0,63.0,Hungary,2008.0,Summer,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver,Hungary
Danuta Kozk,F,25.0,168.0,63.0,Hungary,2012.0,Summer,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold,Hungary
Danuta Kozk,F,25.0,168.0,63.0,Hungary,2012.0,Summer,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold,Hungary
Danuta Kozk,F,29.0,168.0,63.0,Hungary,2016.0,Summer,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold,Hungary
Danuta Kozk,F,29.0,168.0,63.0,Hungary,2016.0,Summer,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold,Hungary
Danuta Kozk,F,29.0,168.0,63.0,Hungary,2016.0,Summer,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold,Hungary
Anastasiya Mykolavna Kozhenkova,F,26.0,186.0,75.0,Ukraine,2012.0,Summer,Rowing,Rowing Women's Quadruple Sculls,Gold,Ukraine
Nikolay Nikolayevich Kozlov,M,32.0,192.0,92.0,Russia,2004.0,Summer,Water Polo,Water Polo Men's Water Polo,Bronze,Russia
Anna A. Kozlova,F,31.0,177.0,62.0,United States,2004.0,Summer,Synchronized Swimming,Synchronized Swimming Women's Duet,Bronze,United States
Anna A. Kozlova,F,31.0,177.0,62.0,United States,2004.0,Summer,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze,United States
Gyrgy Kozmann,M,26.0,179.0,85.0,Hungary,2004.0,Summer,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze,Hungary
Gyrgy Kozmann,M,30.0,179.0,85.0,Hungary,2008.0,Summer,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze,Hungary
Primo Kozmus,M,28.0,188.0,112.0,Slovenia,2008.0,Summer,Athletics,Athletics Men's Hammer Throw,Gold,Slovenia
Primo Kozmus,M,32.0,188.0,112.0,Slovenia,2012.0,Summer,Athletics,Athletics Men's Hammer Throw,Silver,Slovenia
"Stavroula ""Voula"" Kozomboli",F,30.0,180.0,73.0,Greece,2004.0,Summer,Water Polo,Water Polo Women's Water Polo,Silver,Greece
Szymon Piotr Koecki,M,26.0,181.0,94.0,Poland,2008.0,Summer,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver,Poland
Annike Berit Krahn,F,23.0,173.0,61.0,Germany,2008.0,Summer,Football,Football Women's Football,Bronze,Germany
Annike Berit Krahn,F,31.0,173.0,61.0,Germany,2016.0,Summer,Football,Football Women's Football,Gold,Germany
Julia Krajewski,F,27.0,168.0,65.0,Germany,2016.0,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver,Germany
Sven Kramer,M,19.0,185.0,80.0,Netherlands,2006.0,Winter,Speed Skating,"Speed Skating Men's 5,000 metres",Silver,Netherlands
Sven Kramer,M,19.0,185.0,80.0,Netherlands,2006.0,Winter,Speed Skating,Speed Skating Men's Team Pursuit (8 laps),Bronze,Netherlands
Sven Kramer,M,23.0,185.0,80.0,Netherlands,2010.0,Winter,Speed Skating,"Speed Skating Men's 5,000 metres",Gold,Netherlands
Sven Kramer,M,23.0,185.0,80.0,Netherlands,2010.0,Winter,Speed Skating,Speed Skating Men's Team Pursuit (8 laps),Bronze,Netherlands
Sven Kramer,M,27.0,185.0,80.0,Netherlands,2014.0,Winter,Speed Skating,"Speed Skating Men's 5,000 metres",Gold,Netherlands
Sven Kramer,M,27.0,185.0,80.0,Netherlands,2014.0,Winter,Speed Skating,"Speed Skating Men's 10,000 metres",Silver,Netherlands
Sven Kramer,M,27.0,185.0,80.0,Netherlands,2014.0,Winter,Speed Skating,Speed Skating Men's Team Pursuit (8 laps),Gold,Netherlands
Robert Kranjec,M,20.0,175.0,61.0,Slovenia,2002.0,Winter,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Bronze,Slovenia
Ivan Krapi,M,27.0,194.0,103.0,Croatia,2016.0,Summer,Water Polo,Water Polo Men's Water Polo,Silver,Croatia
Olesya Aleksandrovna Krasnomovets (-Forsheva),F,25.0,171.0,60.0,Russia,2004.0,Summer,Athletics,Athletics Women's 4 x 400 metres Relay,Silver,Russia
Pontus Sebastian Kraupp,M,28.0,183.0,79.0,Sweden,2014.0,Winter,Curling,Curling Men's Curling,Bronze,Sweden
Alanna Kraus (-Handley),F,24.0,165.0,60.0,Canada,2002.0,Winter,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Bronze,Canada
Alanna Kraus (-Handley),F,28.0,165.0,60.0,Canada,2006.0,Winter,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Silver,Canada
Marinus Kraus,M,22.0,173.0,59.0,Germany,2014.0,Winter,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Gold,Germany
Silke Kraushaar (-Pielach),F,31.0,177.0,66.0,Germany,2002.0,Winter,Luge,Luge Women's Singles,Bronze,Germany
Silke Kraushaar (-Pielach),F,35.0,177.0,66.0,Germany,2006.0,Winter,Luge,Luge Women's Singles,Silver,Germany
Laura Kraut (Kent-),F,42.0,168.0,58.0,United States,2008.0,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold,United States
Virginia Kravarioti,F,24.0,166.0,69.0,Greece,2008.0,Summer,Sailing,Sailing Women's Three Person Keelboat,Bronze,Greece
Olena Vitalivna Kravatska,F,24.0,176.0,66.0,Ukraine,2016.0,Summer,Fencing,"Fencing Women's Sabre, Team",Silver,Ukraine
Andrey Sergeyevich Kravchenko,M,22.0,191.0,83.0,Belarus,2008.0,Summer,Athletics,Athletics Men's Decathlon,Silver,Belarus
Igor Aleksandrovich Kravchuk,M,35.0,185.0,95.0,Russia,2002.0,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,Russia
Igor Aleksandrovich Kravtsov,M,30.0,192.0,105.0,Russia,2004.0,Summer,Rowing,Rowing Men's Quadruple Sculls,Gold,Russia
Lenny Krayzelburg,M,28.0,187.0,87.0,United States,2004.0,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,United States
Adam Kreek,M,27.0,193.0,91.0,Canada,2008.0,Summer,Rowing,Rowing Men's Coxed Eights,Gold,Canada
David Kreiner,M,28.0,172.0,60.0,Austria,2010.0,Winter,Nordic Combined,Nordic Combined Men's Team,Gold,Austria
Marion Kreiner,F,28.0,170.0,61.0,Austria,2010.0,Winter,Snowboarding,Snowboarding Women's Parallel Giant Slalom,Bronze,Austria
Jannick Green Krejberg,M,27.0,195.0,95.0,Denmark,2016.0,Summer,Handball,Handball Men's Handball,Gold,Denmark
Kelly Kretschman,F,24.0,165.0,66.0,United States,2004.0,Summer,Softball,Softball Women's Softball,Gold,United States
Kelly Kretschman,F,28.0,165.0,66.0,United States,2008.0,Summer,Softball,Softball Women's Softball,Silver,United States
Peter Kretschmer,M,20.0,175.0,70.0,Germany,2012.0,Summer,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold,Germany
Stefan Kretzschmar,M,31.0,190.0,95.0,Germany,2004.0,Summer,Handball,Handball Men's Handball,Silver,Germany
Steffi Kriegerstein,F,23.0,178.0,70.0,Germany,2016.0,Summer,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver,Germany
Hans Thor Juul Kristensen,M,24.0,186.0,72.0,Denmark,2004.0,Summer,Rowing,Rowing Men's Lightweight Coxless Fours,Gold,Denmark
Veronica Egebakken Kristiansen,F,26.0,175.0,68.0,Norway,2016.0,Summer,Handball,Handball Women's Handball,Bronze,Norway
Alexander Kristoff,M,25.0,180.0,72.0,Norway,2012.0,Summer,Cycling,"Cycling Men's Road Race, Individual",Bronze,Norway
Henrik Kristoffersen,M,19.0,179.0,73.0,Norway,2014.0,Winter,Alpine Skiing,Alpine Skiing Men's Slalom,Bronze,Norway
Antonina Vladimirovna Krivoshapka,F,25.0,168.0,59.0,Russia,2012.0,Summer,Athletics,Athletics Women's 4 x 400 metres Relay,Silver,Russia
Denis Ivanovich Krivoshlykov,M,33.0,180.0,85.0,Russia,2004.0,Summer,Handball,Handball Men's Handball,Bronze,Russia
Jozef Krn,M,26.0,174.0,66.0,Slovakia,2004.0,Summer,Judo,Judo Men's Half-Lightweight,Silver,Slovakia
Sara Krnji,F,25.0,193.0,83.0,Serbia,2016.0,Summer,Basketball,Basketball Women's Basketball,Bronze,Serbia
Magnus Krog,M,26.0,187.0,73.0,Norway,2014.0,Winter,Nordic Combined,"Nordic Combined Men's Normal Hill / 10 km, Individual",Bronze,Norway
Magnus Krog,M,26.0,187.0,73.0,Norway,2014.0,Winter,Nordic Combined,Nordic Combined Men's Team,Gold,Norway
Ranomi Kromowidjojo,F,17.0,180.0,72.0,Netherlands,2008.0,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,Netherlands
Ranomi Kromowidjojo,F,21.0,180.0,72.0,Netherlands,2012.0,Summer,Swimming,Swimming Women's 50 metres Freestyle,Gold,Netherlands
Ranomi Kromowidjojo,F,21.0,180.0,72.0,Netherlands,2012.0,Summer,Swimming,Swimming Women's 100 metres Freestyle,Gold,Netherlands
Ranomi Kromowidjojo,F,21.0,180.0,72.0,Netherlands,2012.0,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,Netherlands
Hans Niklas Kronwall,M,25.0,183.0,86.0,Sweden,2006.0,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold,Sweden
Hans Niklas Kronwall,M,33.0,183.0,86.0,Sweden,2014.0,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,Sweden
Luk Krplek,M,25.0,197.0,105.0,Czech Republic,2016.0,Summer,Judo,Judo Men's Half-Heavyweight,Gold,Czechia
Sinphet Kruaithong,M,20.0,159.0,56.0,Thailand,2016.0,Summer,Weightlifting,Weightlifting Men's Bantamweight,Bronze,Thailand
Hannah Krger,F,27.0,173.0,67.0,Germany,2016.0,Summer,Hockey,Hockey Women's Hockey,Bronze,Germany
Marcus Viktor Krger,M,23.0,182.0,82.0,Sweden,2014.0,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,Sweden
Nikolay Nikolayevich Kruglov,M,24.0,180.0,72.0,Russia,2006.0,Winter,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Silver,Russia
Larisa Nikolayevna Kruglova,F,31.0,166.0,63.0,Russia,2004.0,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Silver,Russia
"James W. ""J. W."" Krumpholz",M,20.0,191.0,93.0,United States,2008.0,Summer,Water Polo,Water Polo Men's Water Polo,Silver,United States
Edvinas Krungolcas,M,35.0,187.0,79.0,Lithuania,2008.0,Summer,Modern Pentathlon,Modern Pentathlon Men's Individual,Silver,Lithuania
Jens Kruppa,M,28.0,200.0,95.0,Germany,2004.0,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,Germany
Eszter Krutzler,F,23.0,160.0,69.0,Hungary,2004.0,Summer,Weightlifting,Weightlifting Women's Light-Heavyweight,Silver,Hungary
Mariya Yevgenyevna Kryuchkova,F,16.0,150.0,39.0,Russia,2004.0,Summer,Gymnastics,Gymnastics Women's Team All-Around,Bronze,Russia
Nikita Valeryevich Kryukov,M,24.0,184.0,74.0,Russia,2010.0,Winter,Cross Country Skiing,Cross Country Skiing Men's Sprint,Gold,Russia
Nikita Valeryevich Kryukov,M,28.0,184.0,74.0,Russia,2014.0,Winter,Cross Country Skiing,Cross Country Skiing Men's Team Sprint,Silver,Russia
Ku Bon-Chan,M,23.0,181.0,84.0,South Korea,2016.0,Summer,Archery,Archery Men's Individual,Gold,South Korea
Ku Bon-Chan,M,23.0,181.0,84.0,South Korea,2016.0,Summer,Archery,Archery Men's Team,Gold,South Korea
Filip Kuba,M,29.0,192.0,91.0,Czech Republic,2006.0,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,Czechia
Pavel Kubina,M,28.0,196.0,113.0,Czech Republic,2006.0,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,Czechia
"Matthew Gregory ""Matt"" Kuchar",M,38.0,193.0,86.0,United States,2016.0,Summer,Golf,Golf Men's Individual,Bronze,United States
Tomasz Bogusaw Kucharski,M,30.0,181.0,72.0,Poland,2004.0,Summer,Rowing,Rowing Men's Lightweight Double Sculls,Gold,Poland
Jonathan Kuck,M,19.0,183.0,79.0,United States,2010.0,Winter,Speed Skating,Speed Skating Men's Team Pursuit (8 laps),Silver,United States
Vasily Aleksandrovich Kudinov,M,35.0,195.0,100.0,Russia,2004.0,Summer,Handball,Handball Men's Handball,Bronze,Russia
Denis Maksymilian Kudla,M,21.0,184.0,90.0,Germany,2016.0,Summer,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze,Germany
Yana Alekseyevna Kudryavtseva,F,18.0,170.0,47.0,Russia,2016.0,Summer,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Silver,Russia
Besik Serodinovich Kudukhov,M,21.0,168.0,60.0,Russia,2008.0,Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Bronze,Russia
Besik Serodinovich Kudukhov,M,25.0,168.0,60.0,Russia,2012.0,Summer,Wrestling,"Wrestling Men's Lightweight, Freestyle",Silver,Russia
Andreas Kuffner,M,25.0,196.0,94.0,Germany,2012.0,Summer,Rowing,Rowing Men's Coxed Eights,Gold,Germany
